AssemblyID	OperonSize	Category
GCF_003955665.1	7497	AddAB
GCF_900105105.1	8568	AddAB
GCF_003646465.1	6286	AddAB
GCF_014199595.1	6518	AddAB
GCF_001831475.1	8834	AddAB
GCF_900094605.1	6649	AddAB
GCF_900107535.1	6148	AddAB
GCF_902787035.1	6126	AddAB
GCF_015551805.1	7706	AddAB
GCF_014638005.1	8704	AddAB
GCF_008124885.1	6648	AddAB
GCF_000378085.1	6094	AddAB
GCF_014651375.1	6268	AddAB
GCF_014212125.1	7519	AddAB
GCF_014639075.1	6808	AddAB
GCF_000425845.1	6927	AddAB
GCF_900176415.1	8580	AddAB
GCF_002028545.1	6652	AddAB
GCF_000518685.1	7041	AddAB
GCF_007997385.1	7555	AddAB
GCF_001653755.1	8646	AddAB
GCF_007830445.1	6414	AddAB
GCF_000186265.1	8588	AddAB
GCF_000430785.1	7201	AddAB
GCF_900111195.1	7183	AddAB
GCF_001434335.1	7095	AddAB
GCF_000518565.1	7131	AddAB
GCF_008056315.1	7516	AddAB
GCF_000468615.2	8582	AddAB
GCF_900109925.1	7257	AddAB
GCF_000423765.1	7558	AddAB
GCF_004208535.1	6414	AddAB
GCF_003054195.1	6244	AddAB
GCF_002763715.1	6223	AddAB
GCF_900101285.1	5805	AddAB
GCF_001435235.1	7353	AddAB
GCF_900101955.1	5913	AddAB
GCF_000423705.1	6691	AddAB
GCF_003350545.1	9389	AddAB
GCF_000378465.1	6457	AddAB
GCF_900112975.1	9381	AddAB
GCF_004364575.1	8734	AddAB
GCF_009725995.1	8594	AddAB
GCF_900215465.1	8588	AddAB
GCF_003634105.1	7449	AddAB
GCF_007004665.1	6562	AddAB
GCF_000429625.1	6532	AddAB
GCF_001857965.1	7660	AddAB
GCF_900167115.1	7161	AddAB
GCF_900142225.1	7332	AddAB
GCF_900188175.1	6834	AddAB
GCF_014192375.1	6544	AddAB
GCF_900101615.1	6604	AddAB
GCF_000154845.1	6228	AddAB
GCF_900111075.1	9348	AddAB
GCF_003208175.1	7324	AddAB
GCF_900143645.1	7206	AddAB
GCF_005434965.1	6337	AddAB
GCF_003055625.1	8762	AddAB
GCF_900099675.1	8722	AddAB
GCF_004363725.1	6640	AddAB
GCF_003970495.1	7126	AddAB
GCF_900109345.1	8571	AddAB
GCF_900142885.1	8823	AddAB
GCF_003259375.1	8628	AddAB
GCF_004364175.1	8570	AddAB
GCF_900099915.1	9006	AddAB
GCF_900103215.1	8594	AddAB
GCF_014205875.1	6972	AddAB
GCF_900129485.1	7260	AddAB
GCF_900110375.1	8777	AddAB
GCF_003076455.1	7803	AddAB
GCF_009601505.1	6732	AddAB
GCF_001435065.1	7263	AddAB
GCF_003097535.1	8753	AddAB
GCF_000799975.1	6750	AddAB
GCF_003217515.1	5944	AddAB
GCF_900129275.1	8018	AddAB
GCF_003315295.1	7201	AddAB
GCF_000455445.1	6085	AddAB
GCF_000983115.1	6969	AddAB
GCF_900626145.1	6948	AddAB
GCF_000429545.1	8746	AddAB
GCF_900116225.1	7861	AddAB
GCF_000454065.1	7296	AddAB
GCF_900106675.1	6307	AddAB
GCF_008107635.1	7306	AddAB
GCF_900168125.1	6314	AddAB
GCF_001661915.1	6478	AddAB
GCF_000963965.1	6715	AddAB
GCF_900107215.1	6441	AddAB
GCF_006475605.1	6526	AddAB
GCF_003350205.1	6529	AddAB
GCF_900113635.1	6900	AddAB
GCF_014191725.1	6297	AddAB
GCF_900128475.1	6168	AddAB
GCF_008085455.1	7546	AddAB
GCF_003148665.1	8610	AddAB
GCF_000425465.1	8672	AddAB
GCF_000688515.1	6661	AddAB
GCF_014332695.1	6192	AddAB
GCF_002886045.1	7695	AddAB
GCF_001405015.1	7185	AddAB
GCF_001436985.1	7308	AddAB
GCF_900100165.1	7675	AddAB
GCF_010882125.1	7264	AddAB
GCF_004363315.1	6226	AddAB
GCF_900141855.1	8827	AddAB
GCF_902506355.1	8567	AddAB
GCF_000973105.1	8604	AddAB
GCF_001969855.1	7179	AddAB
GCF_003687485.1	8833	AddAB
GCF_001705175.1	8838	AddAB
GCF_000224615.1	5998	AddAB
GCF_014644455.1	6679	AddAB
GCF_900142105.1	7164	AddAB
GCF_000425505.1	10713	AddAB
GCF_001436705.1	7332	AddAB
GCF_014656455.1	6321	AddAB
GCF_014192475.1	6070	AddAB
GCF_002845745.1	6682	AddAB
GCF_003051085.1	7459	AddAB
GCF_000374585.1	6139	AddAB
GCF_014192335.1	5887	AddAB
GCF_000425445.1	8837	AddAB
GCF_014203215.1	6592	AddAB
GCF_003337565.1	6309	AddAB
GCF_900109575.1	6265	AddAB
GCF_900188095.1	6010	AddAB
GCF_000305785.2	6100	AddAB
GCF_003990445.1	6225	AddAB
GCF_900101165.1	7414	AddAB
GCF_001618145.1	7224	AddAB
GCF_900143265.1	6781	AddAB
GCF_009208585.1	6219	AddAB
GCF_900109085.1	7417	AddAB
GCF_900110135.1	6298	AddAB
GCF_001039475.1	7203	AddAB
GCF_900104415.1	6960	AddAB
GCF_900101435.1	6086	AddAB
GCF_006148925.1	7484	AddAB
GCF_002807035.1	6082	AddAB
GCF_001651875.1	6738	AddAB
GCF_900106645.1	8943	AddAB
GCF_009827395.1	6460	AddAB
GCF_008369745.1	8841	AddAB
GCF_000190595.1	8591	AddAB
GCF_000423865.1	5842	AddAB
GCF_009827435.1	6418	AddAB
GCF_000468015.1	7003	AddAB
GCF_900129555.1	8841	AddAB
GCF_900119145.1	8594	AddAB
GCF_000424065.1	7416	AddAB
GCF_001663155.1	6541	AddAB
GCF_000381065.1	7117	AddAB
GCF_000620065.1	7737	AddAB
GCF_000374825.1	7507	AddAB
GCF_001719165.1	6595	AddAB
GCF_000687165.1	6445	AddAB
GCF_003385895.1	8842	AddAB
GCF_900096945.1	7201	AddAB
GCF_000374825.1	6081	AddAB
GCF_003337715.1	6729	AddAB
GCF_000154725.1	8922	AddAB
GCF_014200045.1	6418	AddAB
GCF_001675045.1	7399	AddAB
GCF_000422725.1	8823	AddAB
GCF_014641655.1	6457	AddAB
GCF_900100255.1	6520	AddAB
GCF_900102475.1	7497	AddAB
GCF_900142775.1	7622	AddAB
GCF_003176895.1	7189	AddAB
GCF_001436225.1	7372	AddAB
GCF_003269425.1	8593	AddAB
GCF_008806385.1	6595	AddAB
GCF_900188415.1	8561	AddAB
GCF_900106775.1	6785	AddAB
GCF_014205635.1	6478	AddAB
GCF_002734215.1	6135	AddAB
GCF_900129215.1	6154	AddAB
GCF_900168055.1	7946	AddAB
GCF_001975785.1	7137	AddAB
GCF_900167025.1	6364	AddAB
GCF_009827615.1	6472	AddAB
GCF_900129885.1	5964	AddAB
GCF_002105285.1	6316	AddAB
GCF_004959935.1	6174	AddAB
GCF_003311635.1	6610	AddAB
GCF_902377395.1	7087	AddAB
GCF_000382225.1	11713	AddAB
GCF_002925845.1	6340	AddAB
GCF_001890765.1	5896	AddAB
GCF_003073175.1	7258	AddAB
GCF_001628775.1	6382	AddAB
GCF_904425415.1	8839	AddAB
GCF_900094545.1	6747	AddAB
GCF_014199155.1	6643	AddAB
GCF_900100185.1	6036	AddAB
GCF_009828095.1	6478	AddAB
GCF_000160695.1	7332	AddAB
GCF_002946355.1	7191	AddAB
GCF_006974145.1	8745	AddAB
GCF_002217335.1	8817	AddAB
GCF_014196195.1	7220	AddAB
GCF_900141905.1	6430	AddAB
GCF_000423565.1	10180	AddAB
GCF_900115615.1	4921	AddAB
GCF_000260115.1	8724	AddAB
GCF_001281485.1	6466	AddAB
GCF_001542415.1	6616	AddAB
GCF_014652215.1	6244	AddAB
GCF_000365005.1	6325	AddAB
GCF_001653715.1	7080	AddAB
GCF_000426565.1	6268	AddAB
GCF_000009785.1	7247	AddAB
GCF_900130055.1	7201	AddAB
GCF_004341205.1	7222	AddAB
GCF_014197795.1	6502	AddAB
GCF_902374465.1	6361	AddAB
GCF_001436295.1	7233	AddAB
GCF_006345825.1	7361	AddAB
GCF_001587155.1	6418	AddAB
GCF_007855915.1	7247	AddAB
GCF_003472935.1	6132	AddAB
GCF_003595305.1	6418	AddAB
GCF_013087515.1	6735	AddAB
GCF_014207905.1	8837	AddAB
GCF_001663855.1	6403	AddAB
GCF_014202115.1	7296	AddAB
GCF_014635085.1	6610	AddAB
GCF_015555825.1	6274	AddAB
GCF_003122385.1	8838	AddAB
GCF_900102145.1	4834	AddAB
GCF_900102145.1	73098	AddAB
GCF_006861795.1	7188	AddAB
GCF_006861825.1	7191	AddAB
GCF_900167975.1	6049	AddAB
GCF_001438705.1	7278	AddAB
GCF_002217395.1	8835	AddAB
GCF_004345565.1	8830	AddAB
GCF_009827545.1	6466	AddAB
GCF_010500835.1	6790	AddAB
GCF_003467385.1	7476	AddAB
GCF_000430625.1	7398	AddAB
GCF_001683355.1	6261	AddAB
GCF_000424025.1	7122	AddAB
GCF_001547995.1	6544	AddAB
GCF_003457595.1	7030	AddAB
GCF_003634045.1	6592	AddAB
GCF_003148525.1	8839	AddAB
GCF_003340385.1	6623	AddAB
GCF_900155525.1	6246	AddAB
GCF_000745915.1	5851	AddAB
GCF_900110345.1	7199	AddAB
GCF_000518785.1	6735	AddAB
GCF_004684935.1	7231	AddAB
GCF_003369575.1	7227	AddAB
GCF_900115605.1	7132	AddAB
GCF_003434235.1	7153	AddAB
GCF_014207105.1	6542	AddAB
GCF_004363775.1	6458	AddAB
GCF_900142635.1	8717	AddAB
GCF_011927795.1	7458	AddAB
GCF_002155685.1	6556	AddAB
GCF_900188245.1	6999	AddAB
GCF_900102275.1	6360	AddAB
GCF_000377765.1	7177	AddAB
GCF_002217925.1	7251	AddAB
GCF_000711955.1	6129	AddAB
GCF_011762145.1	6345	AddAB
GCF_003573535.1	7095	AddAB
GCF_004335085.1	7172	AddAB
GCF_900113935.1	6613	AddAB
GCF_900102625.1	6055	AddAB
GCF_900112485.1	7295	AddAB
GCF_001431195.1	7218	AddAB
GCF_000182745.2	6640	AddAB
GCF_900115625.1	7182	AddAB
GCF_000378425.1	7666	AddAB
GCF_001436015.1	7276	AddAB
GCF_000429305.1	6268	AddAB
GCF_900102215.1	7517	AddAB
GCF_000472665.1	7077	AddAB
GCF_008571395.1	6901	AddAB
GCF_009823595.1	5947	AddAB
GCF_000373965.1	5986	AddAB
GCF_002149965.1	6535	AddAB
GCF_900129865.1	7207	AddAB
GCF_002217985.1	7242	AddAB
GCF_000196355.1	6379	AddAB
GCF_003261295.1	6499	AddAB
GCF_900109135.1	7438	AddAB
GCF_000621445.1	7200	AddAB
GCF_009827595.1	6490	AddAB
GCF_900112575.1	8825	AddAB
GCF_001595965.1	6517	AddAB
GCF_900167605.1	6301	AddAB
GCF_001435875.1	7315	AddAB
GCF_002009295.1	6640	AddAB
GCF_004217215.1	5968	AddAB
GCF_900142955.1	7646	AddAB
GCF_900113485.1	6598	AddAB
GCF_000745455.1	6205	AddAB
GCF_000425265.1	6082	AddAB
GCF_000183425.1	6495	AddAB
GCF_004006375.1	6640	AddAB
GCF_900119185.1	9066	AddAB
GCF_002269345.1	6415	AddAB
GCF_900156605.1	6499	AddAB
GCF_900079135.1	7444	AddAB
GCF_003056405.1	6451	AddAB
GCF_003385555.1	6349	AddAB
GCF_001401755.1	8006	AddAB
GCF_014648015.1	6936	AddAB
GCF_900067155.1	7447	AddAB
GCF_014651475.1	8643	AddAB
GCF_014199205.1	6436	AddAB
GCF_007954425.1	6463	AddAB
GCF_000403195.1	6055	AddAB
GCF_003293845.1	8744	AddAB
GCF_014653155.1	6342	AddAB
GCF_900048895.1	6864	AddAB
GCF_005887635.2	6643	AddAB
GCF_900102135.1	6592	AddAB
GCF_900103005.1	7192	AddAB
GCF_900103315.1	6239	AddAB
GCF_000364225.1	7024	AddAB
GCF_011761345.1	7219	AddAB
GCF_003008695.1	7447	AddAB
GCF_000745455.1	13546	AddAB
GCF_003313335.1	6162	AddAB
GCF_000621505.1	7550	AddAB
GCF_001653565.1	7514	AddAB
GCF_000619905.2	6376	AddAB
GCF_006542355.1	6652	AddAB
GCF_000934745.1	6394	AddAB
GCF_013372245.1	5110	AddAB
GCF_900112485.1	7295	AddAB
GCF_900143085.1	7153	AddAB
GCF_002934635.1	6208	AddAB
GCF_902804485.1	8838	AddAB
GCF_015244665.1	6589	AddAB
GCF_900103515.1	6168	AddAB
GCF_000427965.1	6304	AddAB
GCF_000745455.1	5560	AddAB
GCF_006553035.1	7224	AddAB
GCF_003668575.1	7230	AddAB
GCF_014196835.1	6787	AddAB
GCF_900100975.1	6112	AddAB
GCF_003065365.1	6583	AddAB
GCF_001263415.1	7304	AddAB
GCF_900104455.1	7156	AddAB
GCF_003605385.1	7233	AddAB
GCF_000746255.1	8872	AddAB
GCF_003640645.1	6132	AddAB
GCF_004343075.1	6322	AddAB
GCF_900205955.1	7371	AddAB
GCF_000931935.2	6693	AddAB
GCF_007745435.1	6820	AddAB
GCF_900129115.1	7125	AddAB
GCF_900102015.1	6310	AddAB
GCF_000423245.1	7396	AddAB
GCF_000424985.1	8734	AddAB
GCF_000355765.4	6298	AddAB
GCF_012317585.1	5844	AddAB
GCF_004135975.1	6145	AddAB
GCF_001663175.1	6520	AddAB
GCF_900112515.1	6307	AddAB
GCF_014201655.1	6124	AddAB
GCF_013432195.1	6220	AddAB
GCF_000429425.1	6075	AddAB
GCF_003384935.1	10241	AddAB
GCF_009829075.1	6404	AddAB
GCF_004362665.1	8788	AddAB
GCF_004343355.1	7884	AddAB
GCF_014637795.1	6819	AddAB
GCF_000423185.1	6576	AddAB
GCF_902373865.1	6265	AddAB
GCF_900099775.1	6738	AddAB
GCF_005844085.1	6604	AddAB
GCF_004341035.1	7227	AddAB
GCF_002027705.1	7515	AddAB
GCF_001543175.1	7459	AddAB
GCF_014843995.1	6709	AddAB
GCF_012163135.1	6100	AddAB
GCF_003148475.1	6658	AddAB
GCF_001672295.1	6100	AddAB
GCF_008014775.1	7086	AddAB
GCF_900142375.1	7197	AddAB
GCF_001434395.1	7443	AddAB
GCF_000016645.1	8836	AddAB
GCF_001700435.1	7503	AddAB
GCF_011611525.1	6631	AddAB
GCF_014200295.1	6732	AddAB
GCF_008386565.1	6493	AddAB
GCF_900142715.1	8839	AddAB
GCF_001046635.1	6529	AddAB
GCF_001941385.1	5908	AddAB
GCF_000007105.1	6479	AddAB
GCF_005434915.1	6427	AddAB
GCF_007830175.1	7011	AddAB
GCF_008838325.1	6421	AddAB
GCF_900176325.1	7305	AddAB
GCF_900101065.1	6930	AddAB
GCF_006265175.1	7591	AddAB
GCF_900111405.1	5547	AddAB
GCF_900142225.1	7332	AddAB
GCF_001703635.1	6798	AddAB
GCF_001546165.1	6720	AddAB
GCF_014636295.1	6127	AddAB
GCF_900113085.1	6121	AddAB
GCF_900142415.1	5779	AddAB
GCF_000423345.1	6262	AddAB
GCF_015670165.1	6897	AddAB
GCF_003966875.1	7425	AddAB
GCF_012689435.1	6616	AddAB
GCF_008118345.1	6589	AddAB
GCF_004138485.1	6024	AddAB
GCF_007827555.1	7224	AddAB
GCF_000093025.1	6220	AddAB
GCF_002139935.1	5116	AddAB
GCF_003217235.1	6730	AddAB
GCF_000374845.1	7737	AddAB
GCF_014652915.1	6644	AddAB
GCF_003386535.1	7714	AddAB
GCF_000423825.1	5315	AddAB
GCF_003217295.1	7227	AddAB
GCF_014207075.1	6786	AddAB
GCF_003055045.1	7249	AddAB
GCF_014197805.1	7512	AddAB
GCF_014206915.1	6310	AddAB
GCF_008520265.1	6245	AddAB
GCF_014640655.1	3162	AddAB
GCF_005048855.1	6244	AddAB
GCF_000828635.1	6157	AddAB
GCF_000021285.1	6142	AddAB
GCF_004358035.1	6091	AddAB
GCF_014212015.1	7705	AddAB
GCF_900112395.1	7839	AddAB
GCF_002238335.1	5161	AddAB
GCF_014905135.1	5062	AddAB
GCF_003575225.1	7285	AddAB
GCF_006542765.1	7361	AddAB
GCF_000374325.1	7344	AddAB
GCF_900128975.1	6442	AddAB
GCF_002869745.1	6286	AddAB
GCF_002005485.1	6634	AddAB
GCF_900113175.1	6880	AddAB
GCF_004103825.1	6478	AddAB
GCF_003208655.1	6144	AddAB
GCF_002917105.1	6604	AddAB
GCF_000091545.1	4780	AddAB
GCF_900142675.1	5259	AddAB
GCF_000016345.1	6544	AddAB
GCF_003967195.1	6343	AddAB
GCF_900113335.1	7542	AddAB
GCF_902374375.1	6139	AddAB
GCF_000157935.1	6276	AddAB
GCF_000154285.1	5871	AddAB
GCF_003865095.1	7639	AddAB
GCF_001643235.1	7137	AddAB
