AssemblyAccession	PhylumRenamed	AddAB	AddABJ	AdnAB	RecBCD	RecFOR	RecOR
GCF_000023845.1	Actinomycetota	1	0	0	0	0	0
GCF_000023865.1	Actinomycetota	0	0	1	0	0	0
GCF_000023905.1	Fusobacteriota	0	0	0	0	0	0
GCF_000024005.1	Bacteroidota	0	0	0	1	0	0
GCF_000024025.1	Actinomycetota	0	0	1	0	0	0
GCF_000024045.1	Cyanobacteriota	0	0	0	0	0	0
GCF_000024085.1	Pseudomonadota	1	0	0	0	0	0
GCF_000024125.1	Bacteroidota	1	0	0	0	0	0
GCF_000024205.1	Bacillota	0	0	0	0	0	0
GCF_000024225.1	Actinomycetota	0	0	0	0	0	0
GCF_000024265.1	Actinomycetota	1	0	0	0	0	0
GCF_000024285.1	Bacillota	1	0	0	0	0	0
GCF_000024325.1	Pseudomonadota	1	0	0	0	0	0
GCF_000024345.1	Actinomycetota	0	0	1	1	0	0
GCF_000024365.1	Actinomycetota	0	0	1	1	0	0
GCF_000024385.1	Actinomycetota	0	0	1	0	0	0
GCF_000024505.1	Pseudomonadota	0	0	0	0	0	0
GCF_000024545.1	Actinomycetota	0	0	1	0	0	0
GCF_000024565.1	Fusobacteriota	0	0	0	0	0	0
GCF_000024605.1	Bacillota	0	0	0	0	0	0
GCF_000024725.1	Pseudomonadota	1	0	0	0	0	0
GCF_000024765.1	Pseudomonadota	0	0	0	0	0	0
GCF_000024785.1	Actinomycetota	0	0	1	1	0	0
GCF_000024805.1	Pseudomonadota	0	0	0	0	0	0
GCF_000024825.1	Pseudomonadota	0	0	0	1	0	0
GCF_000024845.1	Bacteroidota	0	0	0	0	0	0
GCF_000024865.1	Actinomycetota	0	0	1	0	0	0
GCF_000024885.1	Pseudomonadota	1	0	0	0	0	0
GCF_000024905.1	Synergistota	0	0	0	0	0	0
GCF_000024925.1	Actinomycetota	0	0	1	0	0	0
GCF_000024965.1	Actinomycetota	0	0	1	0	0	0
GCF_000024985.1	Chloroflexota	1	0	0	0	0	0
GCF_000025005.1	Chloroflexota	0	0	0	0	0	0
GCF_000025105.1	Thermotogota	0	0	0	0	0	0
GCF_000025185.1	Planctomycetota	1	0	0	0	0	0
GCF_000025225.2	Bacillota	1	0	0	0	0	0
GCF_000025265.1	Actinomycetota	1	0	0	1	0	0
GCF_000025305.1	Bacillota	0	0	0	0	0	0
GCF_000025345.1	Actinomycetota	0	0	1	0	0	0
GCF_000025485.1	Pseudomonadota	0	0	0	0	0	0
GCF_000025605.1	Aquificota	0	0	0	0	0	0
GCF_000025645.1	Bacillota	1	0	0	0	0	0
GCF_000025705.1	Pseudomonadota	1	0	0	0	0	0
GCF_000025725.1	Deferribacterota	0	0	0	1	0	0
GCF_000025845.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000025885.1	Synergistota	0	0	0	0	0	0
GCF_000025905.1	Verrucomicrobiota	0	0	0	1	0	0
GCF_000025925.1	Bacteroidota	1	0	0	0	0	0
GCF_000025945.1	Pseudomonadota	0	0	0	1	0	0
GCF_000025965.1	Pseudomonadota	0	0	0	1	0	0
GCF_000026085.1	Pseudomonadota	0	0	0	1	0	0
GCF_000026105.1	Pseudomonadota	0	0	0	1	0	0
GCF_000026185.1	Pseudomonadota	0	0	0	0	0	0
GCF_000026605.1	Bacillota	1	0	0	0	0	0
GCF_000026725.1	Bacillota	1	0	0	0	0	0
GCF_000026765.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000027085.1	Pseudomonadota	0	0	0	1	0	0
GCF_000027145.1	Bacillota	1	0	0	0	0	0
GCF_000027225.1	Pseudomonadota	0	0	0	1	0	0
GCF_000027325.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000046845.1	Pseudomonadota	0	0	0	1	0	0
GCF_000054005.1	Pseudomonadota	1	0	0	0	0	0
GCF_000055785.1	Pseudomonadota	0	0	0	1	0	0
GCF_000058485.1	Actinomycetota	0	0	1	0	0	0
GCF_000060345.1	Bacteroidota	1	0	0	0	0	0
GCF_000062885.1	Actinomycetota	0	0	1	0	0	0
GCF_000063605.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000067165.1	Pseudomonadota	0	0	0	0	0	0
GCF_000067205.1	Pseudomonadota	1	0	0	0	0	0
GCF_000069785.1	Pseudomonadota	1	0	0	0	0	0
GCF_000069965.1	Pseudomonadota	0	0	0	1	0	0
GCF_000070465.1	Pseudomonadota	1	0	0	0	0	0
GCF_000091125.1	Pseudomonadota	1	0	0	0	0	0
GCF_000091305.1	Actinomycetota	0	0	1	0	0	0
GCF_000091325.1	Pseudomonadota	0	0	0	1	0	0
GCF_000091465.1	Pseudomonadota	0	0	0	1	0	0
GCF_000091545.1	Deinococcota	1	0	0	0	0	0
GCF_000091565.1	Pseudomonadota	0	0	0	1	0	0
GCF_000092105.1	Planctomycetota	0	0	0	0	0	0
GCF_000092125.1	Deinococcota	0	0	0	0	0	0
GCF_000092205.1	Pseudomonadota	0	0	0	1	0	0
GCF_000092225.1	Actinomycetota	0	0	1	1	0	0
GCF_000092245.1	Pseudomonadota	0	0	0	0	0	0
GCF_000092265.1	Pseudomonadota	0	0	0	0	0	0
GCF_000092385.1	Actinomycetota	0	0	1	0	0	0
GCF_000092405.1	Bacillota	1	0	0	0	0	0
GCF_000092425.1	Deinococcota	0	0	0	0	0	0
GCF_000092505.1	Bacillota	1	0	0	0	0	0
GCF_000092645.1	Actinomycetota	0	0	1	0	0	0
GCF_000092785.1	Chlamydiota	0	0	0	1	0	0
GCF_000092825.1	Actinomycetota	0	0	1	0	0	0
GCF_000092845.1	Spirochaetota	0	0	0	0	0	0
GCF_000092865.1	Actinomycetota	0	0	1	1	0	0
GCF_000092905.1	Bacillota	1	0	0	0	0	0
GCF_000092925.1	Pseudomonadota	1	0	0	0	0	0
GCF_000092965.1	Bacillota	1	0	0	0	0	0
GCF_000093025.1	Pseudomonadota	1	0	0	0	0	0
GCF_000143085.1	Pseudomonadota	1	0	0	0	0	0
GCF_000143145.1	Pseudomonadota	1	0	0	0	0	0
GCF_000143165.1	Chloroflexota	0	0	0	0	0	1
GCF_000143685.1	Bacillota	0	0	0	0	0	0
GCF_000143725.1	Spirochaetota	0	0	0	0	0	0
GCF_000143825.1	Actinomycetota	0	0	1	0	0	0
GCF_000143845.1	Actinomycetota	1	0	0	0	0	0
GCF_000143965.1	Pseudomonadota	0	0	0	0	0	0
GCF_000143985.1	Spirochaetota	0	0	0	0	0	0
GCF_000144405.1	Bacteroidota	1	0	0	0	0	0
GCF_000144605.1	Pseudomonadota	1	0	0	0	0	0
GCF_000144625.1	Bacillota	1	0	0	0	0	0
GCF_000144645.1	Bacillota	0	0	0	0	0	0
GCF_000144675.2	Actinomycetota	0	0	1	0	0	0
GCF_000144695.1	Bacillota	0	0	0	0	0	0
GCF_000145035.1	Bacillota	1	0	0	0	0	0
GCF_000145215.1	Bacillota	0	0	0	0	0	0
GCF_000145235.1	Actinomycetota	0	0	1	0	0	0
GCF_000145255.1	Pseudomonadota	1	0	0	0	0	0
GCF_000145275.1	Bacillota	1	0	0	0	0	0
GCF_000145615.1	Bacillota	1	0	0	0	0	0
GCF_000145945.2	Pseudomonadota	0	0	0	1	0	0
GCF_000146185.1	Bacillota	1	0	0	0	0	0
GCF_000146345.1	Bacillota	1	0	0	0	0	0
GCF_000146675.1	Bacteroidota	1	0	0	0	0	0
GCF_000147055.1	Pseudomonadota	0	0	0	1	0	0
GCF_000147335.1	Cyanobacteriota	0	0	0	0	0	0
GCF_000147355.1	Pseudomonadota	1	0	0	0	0	0
GCF_000147695.2	Bacillota	1	0	0	0	0	0
GCF_000147715.2	Thermotogota	1	0	0	0	0	0
GCF_000148645.1	Pseudomonadota	0	0	0	1	0	0
GCF_000152145.1	Chloroflexota	0	0	0	0	0	0
GCF_000152245.2	Bacillota	1	0	0	0	0	0
GCF_000152625.1	Pseudomonadota	1	0	0	0	0	0
GCF_000152725.1	Pseudomonadota	1	0	0	0	0	0
GCF_000152825.2	Pseudomonadota	1	0	0	0	0	0
GCF_000152885.1	Pseudomonadota	0	0	0	1	0	0
GCF_000152985.1	Bacteroidota	1	0	0	0	0	0
GCF_000153105.1	Planctomycetota	1	0	0	0	0	0
GCF_000153125.2	Pseudomonadota	1	0	0	0	0	0
GCF_000153185.1	Pseudomonadota	0	0	0	1	0	0
GCF_000153205.1	Pseudomonadota	1	0	0	0	0	0
GCF_000153225.1	Bacteroidota	0	0	0	0	0	0
GCF_000153305.1	Pseudomonadota	1	0	0	0	0	0
GCF_000153345.1	Pseudomonadota	0	0	0	1	0	0
GCF_000153485.2	Bacteroidota	1	1	0	0	0	0
GCF_000153705.1	Pseudomonadota	1	0	0	0	0	0
GCF_000153725.1	Pseudomonadota	1	0	0	0	0	0
GCF_000154285.1	Bacillota	1	0	0	0	0	0
GCF_000154425.1	Bacillota	1	0	0	0	0	0
GCF_000154465.1	Bacteroidota	1	0	0	0	0	0
GCF_000154705.2	Pseudomonadota	1	0	0	0	0	0
GCF_000154725.1	Bacteroidota	1	0	0	0	0	0
GCF_000154785.2	Pseudomonadota	1	0	0	0	0	0
GCF_000154805.1	Bacillota	1	0	0	0	0	0
GCF_000154825.1	Bacillota	1	0	0	0	0	0
GCF_000154845.1	Bacteroidota	1	0	0	0	1	0
GCF_000154965.1	Actinomycetota	0	0	1	0	0	0
GCF_000155555.1	Cyanobacteriota	0	0	0	0	0	0
GCF_000155675.2	Pseudomonadota	1	0	0	0	0	0
GCF_000155735.2	Pseudomonadota	1	0	0	0	0	0
GCF_000156215.1	Actinomycetota	0	0	0	0	0	0
GCF_000156355.1	Pseudomonadota	0	0	0	1	0	0
GCF_000156415.1	Pseudomonadota	0	0	0	1	0	0
GCF_000156575.1	Bacillota	1	0	0	0	0	0
GCF_000156595.1	Actinomycetota	0	0	1	0	0	0
GCF_000157355.2	Bacillota	1	0	0	0	0	0
GCF_000157895.3	Actinomycetota	0	0	0	1	0	0
GCF_000157915.1	Bacteroidota	0	0	0	0	0	0
GCF_000157935.1	Bacteroidota	1	0	0	0	0	0
GCF_000157955.1	Bacillota	1	0	0	0	0	0
GCF_000158095.2	Pseudomonadota	1	0	0	0	0	0
GCF_000158175.1	Pseudomonadota	1	0	0	0	0	0
GCF_000158915.1	Actinomycetota	0	0	1	0	0	0
GCF_000158955.1	Actinomycetota	0	0	0	0	0	0
GCF_000159015.1	Actinomycetota	0	0	1	0	0	0
GCF_000159115.1	Actinomycetota	0	0	1	0	0	0
GCF_000159375.2	Bacillota	1	0	0	0	0	0
GCF_000159635.1	Actinomycetota	0	0	1	0	0	0
GCF_000159995.1	Bacteroidota	1	0	0	0	0	0
GCF_000160035.2	Bacillota	1	0	0	0	0	0
GCF_000160055.1	Bacillota	1	0	0	0	0	0
GCF_000160115.1	Bacillota	1	0	0	0	0	0
GCF_000160475.1	Fusobacteriota	0	0	0	0	0	0
GCF_000160535.1	Bacteroidota	1	0	0	0	0	0
GCF_000160675.1	Bacillota	1	0	0	0	0	0
GCF_000160695.1	Bacillota	1	0	0	0	0	0
GCF_000160775.2	Actinomycetota	0	0	1	0	0	0
GCF_000160835.1	Bacillota	1	0	0	0	0	0
GCF_000160975.1	Bacillota	1	0	0	0	0	0
GCF_000161455.1	Bacillota	1	0	0	0	0	0
GCF_000161495.1	Bacillota	1	0	0	0	0	0
GCF_000161935.1	Bacillota	1	0	0	0	0	0
GCF_000162255.1	Bacillota	1	0	0	0	0	0
GCF_000162475.2	Bacillota	1	0	0	0	0	0
GCF_000162755.2	Pseudomonadota	0	0	0	0	0	0
GCF_000163295.1	Bacillota	1	0	0	0	0	0
GCF_000163895.2	Bacillota	1	0	0	0	0	0
GCF_000164135.1	Actinomycetota	0	0	1	1	0	0
GCF_000164635.1	Pseudomonadota	0	0	0	0	0	0
GCF_000164695.2	Actinomycetota	0	0	1	0	0	0
GCF_000164905.1	Aquificota	0	0	0	0	0	0
GCF_000165465.1	Bacillota	0	0	0	0	0	0
GCF_000165505.1	Fusobacteriota	0	0	0	0	0	0
GCF_000165595.2	Spirochaetota	0	0	0	0	0	0
GCF_000165715.2	Planctomycetota	1	0	0	0	0	0
GCF_000165735.1	Bacillota	1	0	0	0	0	0
GCF_000165795.1	Synergistota	0	0	0	0	0	0
GCF_000166055.1	Pseudomonadota	1	0	0	0	0	0
GCF_000166115.1	Pseudomonadota	1	0	0	0	0	0
GCF_000166135.1	Actinomycetota	0	0	1	0	0	0
GCF_000166195.2	Bacteroidota	0	0	0	0	0	0
GCF_000166275.1	Bacteroidota	1	0	0	0	0	0
GCF_000166295.1	Pseudomonadota	0	0	0	1	0	0
GCF_000166335.1	Bacillota	1	0	0	0	0	0
GCF_000166355.1	Bacillota	0	0	0	0	0	0
