AssemblyAccession	GenomeSize	ProteinCount
GCF_000014965.1	4990251	3923
GCF_000015025.1	2443540	2126
GCF_000015045.1	4241119	3817
GCF_000015125.1	3133902	2654
GCF_000015245.1	4306142	3662
GCF_000015285.1	4559598	3722
GCF_000015305.1	6491865	5981
GCF_000015325.1	5352772	4720
GCF_000015345.1	1389350	1275
GCF_000015445.1	1445021	1162
GCF_000015505.1	5366143	4960
GCF_000015565.1	5597943	4949
GCF_000015585.1	2678452	2436
GCF_000015725.1	4643639	4435
GCF_000015985.1	4489380	4130
GCF_000016065.1	4602594	3891
GCF_000016085.1	1966858	1770
GCF_000016165.1	3608104	3451
GCF_000016345.1	2159490	2117
GCF_000016425.1	5183331	4486
GCF_000016545.1	2970275	2590
GCF_000016585.1	4659220	3944
GCF_000016645.1	6096872	5099
GCF_000016745.1	5136364	4457
GCF_000016765.1	5915246	5429
GCF_000016785.1	1823511	1775
GCF_000016845.1	3275590	2850
GCF_000016985.1	4929566	4719
GCF_000017265.1	4379231	4243
GCF_000017305.1	4956672	4598
GCF_000017445.4	1268201	1231
GCF_000017545.1	1948941	1767
GCF_000017565.1	3914745	3651
GCF_000017805.1	5723298	4502
GCF_000017865.1	2135342	2060
GCF_000018025.1	5517674	4529
GCF_000018105.1	8361599	7157
GCF_000018145.1	4417868	4150
GCF_000018205.1	1231060	1034
GCF_000018265.1	5786361	4891
GCF_000018285.1	5174581	4234
GCF_000018325.1	3123558	2937
GCF_000018405.1	3944167	3301
GCF_000018525.1	3312769	2974
GCF_000018605.1	2169548	1977
GCF_000018685.1	4847594	3978
GCF_000018785.1	1496992	1378
GCF_000018845.1	5471154	4840
GCF_000018885.1	3155250	2603
GCF_000018945.1	1884562	1835
GCF_000019085.1	2362816	2217
GCF_000019165.1	3075407	2657
GCF_000019185.1	5226917	4293
GCF_000019205.1	1571661	1550
GCF_000019225.1	4576573	3600
GCF_000019245.4	2898456	2631
GCF_000019345.1	751679	598
GCF_000019525.1	5935403	4870
GCF_000019665.1	2287145	2014
GCF_000019685.1	1574881	1359
GCF_000019705.1	1242163	1032
GCF_000019725.1	6899110	6386
GCF_000019785.1	4909403	4341
GCF_000019845.1	4418616	3771
GCF_000019905.1	3040786	2995
GCF_000019965.1	5957605	4573
GCF_000020005.1	3191453	2920
GCF_000020025.1	9059191	7027
GCF_000020045.1	8676562	7405
GCF_000020125.1	8214658	7175
GCF_000020145.1	1643562	1491
GCF_000020305.1	1202435	907
GCF_000020365.1	5657782	4749
GCF_000020385.1	3994874	3652
GCF_000020465.1	2763181	2402
GCF_000020485.1	2578146	2383
GCF_000020505.1	2289249	2066
GCF_000020525.1	3293456	2699
GCF_000020625.1	2579695	2295
GCF_000020645.1	3018238	2716
GCF_000020685.1	3855329	3442
GCF_000020725.1	4615150	3976
GCF_000020945.1	1424912	1411
GCF_000020965.1	1959987	1859
GCF_000020985.1	2003803	1987
GCF_000021045.1	5365318	4688
GCF_000021205.1	5419036	5237
GCF_000021265.1	874478	639
GCF_000021285.1	2016657	1888
GCF_000021485.1	2982397	2897
GCF_000021545.1	1640877	1682
GCF_000021565.1	1983966	2038
GCF_000021645.1	1855560	1792
GCF_000021685.1	2920744	2550
GCF_000021725.1	1676444	1710
GCF_000021745.1	4305430	3824
GCF_000021825.1	6554169	5544
GCF_000021885.1	2269156	2037
GCF_000021905.1	6517073	5244
GCF_000021925.1	5279134	4798
GCF_000021945.1	4684931	3684
GCF_000021985.1	3464554	3266
GCF_000022005.1	4042929	3886
GCF_000022065.1	4068724	3350
GCF_000022085.1	8839022	8004
GCF_000022145.1	5029329	4460
GCF_000022185.1	5268950	3954
GCF_000022265.1	4304501	3745
GCF_000022325.1	2931662	2582
GCF_000022525.1	879977	759
GCF_000022565.1	4127356	3317
GCF_000022725.1	2369520	1820
GCF_000022745.1	3337369	3044
GCF_000022885.2	3812301	3222
GCF_000022905.1	2819226	2530
GCF_000023065.1	3471292	3139
GCF_000023105.1	4669183	4179
GCF_000023125.1	6967790	5668
GCF_000023145.1	2446804	2010
GCF_000023205.1	2501097	2200
GCF_000023225.1	3942657	3429
GCF_000023245.1	8248144	6907
GCF_000023265.1	2158157	2010
GCF_000023285.1	2612925	2117
GCF_000023325.1	2302126	2080
GCF_000023345.1	6754997	6305
GCF_000023405.1	3614992	3068
GCF_000023445.1	4289847	3806
GCF_000023465.1	5128187	4304
GCF_000023545.1	4679450	3934
GCF_000023565.1	4813854	4111
GCF_000023685.1	1084586	836
GCF_000023705.1	2547570	2322
GCF_000023745.1	3082007	2885
GCF_000023785.1	3540114	3171
GCF_000023825.1	5167383	4191
GCF_000023845.1	1617804	1337
GCF_000023865.1	4308349	3792
GCF_000023905.1	2465610	2168
GCF_000024005.1	9127347	7055
GCF_000024025.1	10467782	8816
GCF_000024045.1	4803347	4374
GCF_000024085.1	2852073	2600
GCF_000024125.1	3530383	3066
GCF_000024205.1	4545624	4027
GCF_000024225.1	1543805	1347
GCF_000024265.1	3632260	3060
GCF_000024285.1	3205686	3005
GCF_000024325.1	2909567	2446
GCF_000024345.1	7579488	6868
GCF_000024365.1	6060298	5227
GCF_000024385.1	5639016	4804
GCF_000024505.1	1206806	899
GCF_000024545.1	6841557	6344
GCF_000024565.1	1673280	1441
GCF_000024605.1	2157067	2105
GCF_000024725.1	4145260	3716
GCF_000024765.1	2582886	2321
GCF_000024785.1	5290012	4577
GCF_000024805.1	9446314	6718
GCF_000024825.1	5089025	4451
GCF_000024845.1	3386737	2887
GCF_000024865.1	10369518	8937
GCF_000024885.1	2306351	2260
GCF_000024905.1	1848474	1749
GCF_000024925.1	4253413	3658
GCF_000024965.1	3831380	3409
GCF_000024985.1	3993764	3456
GCF_000025005.1	3101581	2834
GCF_000025105.1	1809823	1770
GCF_000025185.1	6196199	4483
GCF_000025225.2	1809746	1456
GCF_000025265.1	6359369	5892
GCF_000025305.1	2329769	2049
GCF_000025345.1	5322497	4777
GCF_000025485.1	3669074	3217
GCF_000025605.1	1500577	1584
GCF_000025645.1	2451061	2265
GCF_000025705.1	3003656	2944
GCF_000025725.1	3222077	2989
GCF_000025845.1	934379	748
GCF_000025885.1	1980592	1876
GCF_000025905.1	3750771	3017
GCF_000025925.1	3619559	2953
GCF_000025945.1	3659634	3076
GCF_000025965.1	4727255	4366
GCF_000026085.1	3850272	3350
GCF_000026105.1	5888780	5066
GCF_000026185.1	4067864	3557
GCF_000026605.1	2149868	1881
GCF_000026725.1	2095898	1930
GCF_000026765.1	846214	654
GCF_000027085.1	5444283	4824
GCF_000027145.1	2797636	2662
GCF_000027225.1	4225498	3555
GCF_000027325.1	580076	511
GCF_000046845.1	3598621	3213
GCF_000054005.1	3278307	2961
GCF_000055785.1	3696649	3301
GCF_000058485.1	7497934	5744
GCF_000060345.1	3798465	3378
GCF_000062885.1	8212805	7045
GCF_000063605.1	877438	657
GCF_000067165.1	13033779	9417
GCF_000067205.1	5287950	4909
GCF_000069785.1	6476522	5685
GCF_000069965.1	4099895	3614
GCF_000070465.1	3732255	3308
GCF_000091125.1	4424862	4094
GCF_000091305.1	10148695	8475
GCF_000091325.1	4962103	3888
GCF_000091465.1	4974818	4174
GCF_000091545.1	2116056	2137
GCF_000091565.1	3833832	3298
GCF_000092105.1	5460085	4025
GCF_000092125.1	3721669	3496
GCF_000092205.1	3097763	2638
GCF_000092225.1	4479724	4195
GCF_000092245.1	3192235	3102
GCF_000092265.1	1863286	1609
GCF_000092385.1	11936683	9418
GCF_000092405.1	2405559	2319
GCF_000092425.1	3260398	2964
GCF_000092505.1	2101787	2024
GCF_000092645.1	4189976	3446
GCF_000092785.1	2131905	1846
GCF_000092825.1	3157527	2993
GCF_000092845.1	3241804	2758
GCF_000092865.1	4123179	3641
GCF_000092905.1	3384766	3172
GCF_000092925.1	4765023	4435
GCF_000092965.1	2306092	2143
GCF_000093025.1	3059871	2758
GCF_000143085.1	3373286	2940
GCF_000143145.1	3638969	3441
GCF_000143165.1	1686510	1688
GCF_000143685.1	4630065	4124
GCF_000143725.1	2586443	2254
GCF_000143825.1	2349953	2161
GCF_000143845.1	2051896	1731
GCF_000143965.1	3655731	3292
GCF_000143985.1	4653970	4260
GCF_000144405.1	3168282	2324
GCF_000144605.1	3445263	3306
GCF_000144625.1	4662871	4148
GCF_000144645.1	2280035	2173
GCF_000144675.2	2337250	1975
GCF_000144695.1	2469596	2290
GCF_000145035.1	4404886	3796
GCF_000145215.1	2532343	2158
GCF_000145235.1	7025559	6201
GCF_000145255.1	3162471	2872
GCF_000145275.1	5262222	4315
GCF_000145615.1	2785752	2597
GCF_000145945.2	6201720	5319
GCF_000146185.1	2831389	2617
GCF_000146345.1	2124844	1875
GCF_000146675.1	2559358	1987
GCF_000147055.1	4922802	4218
GCF_000147335.1	7841948	6619
GCF_000147355.1	2153198	2159
GCF_000147695.2	2785056	2418
GCF_000147715.2	2975953	2579
GCF_000148645.1	4279159	3764
GCF_000152145.1	4373075	3443
GCF_000152245.2	4316707	4030
GCF_000152625.1	3676244	3463
GCF_000152725.1	4440389	4080
GCF_000152825.2	2902643	2622
GCF_000152885.1	2770272	2501
GCF_000152985.1	4244565	3569
GCF_000153105.1	6663851	5208
GCF_000153125.2	4351117	3774
GCF_000153185.1	4526761	4064
GCF_000153205.1	3623681	3222
GCF_000153225.1	2763458	2397
GCF_000153305.1	4053139	3678
GCF_000153345.1	3924755	3575
GCF_000153485.2	4321832	3507
GCF_000153705.1	3806238	3387
GCF_000153725.1	5482983	4940
GCF_000154285.1	2191053	2105
GCF_000154425.1	3102987	2578
GCF_000154465.1	2550678	2222
GCF_000154705.2	4468465	4109
GCF_000154725.1	5033129	4268
GCF_000154785.2	4745450	4375
GCF_000154805.1	2507885	2215
GCF_000154825.1	2284703	2192
GCF_000154845.1	4300117	3453
GCF_000154965.1	9313494	7577
GCF_000155555.1	8679041	6824
GCF_000155675.2	4875481	4383
GCF_000155735.2	5478249	4845
GCF_000156215.1	2475429	1982
GCF_000156355.1	3047652	3096
GCF_000156415.1	1844228	1713
GCF_000156575.1	2206675	2016
GCF_000156595.1	2809149	2391
GCF_000157355.2	3427276	3078
GCF_000157895.3	6577228	5497
GCF_000157915.1	4041504	3137
GCF_000157935.1	3512473	2772
GCF_000157955.1	3245471	2964
GCF_000158095.2	5462930	4940
GCF_000158175.1	3261541	2846
GCF_000158915.1	11030030	8272
GCF_000158955.1	8653262	7068
GCF_000159015.1	1723843	1471
GCF_000159115.1	2437186	2181
GCF_000159375.2	2108740	1976
GCF_000159635.1	2385784	2138
GCF_000159995.1	2585719	1987
GCF_000160035.2	3479204	2999
GCF_000160055.1	1895960	1702
GCF_000160115.1	2169477	1857
GCF_000160475.1	2615003	2352
GCF_000160535.1	3273670	2438
GCF_000160675.1	1947166	1821
GCF_000160695.1	2166063	1994
GCF_000160775.2	3079840	3039
GCF_000160835.1	2302896	2038
GCF_000160975.1	5674808	5497
GCF_000161455.1	5782514	5517
GCF_000161495.1	6026843	6224
GCF_000161935.1	1725829	1581
GCF_000162255.1	2305246	2028
GCF_000162475.2	1743361	1543
GCF_000162755.2	4152613	3430
GCF_000163295.1	1891767	1693
GCF_000163895.2	1931012	1633
GCF_000164135.1	6564171	5779
GCF_000164635.1	5100977	4199
GCF_000164695.2	2506025	2059
GCF_000164905.1	1742932	1887
GCF_000165465.1	2309262	2087
GCF_000165505.1	3132314	2912
GCF_000165595.2	1232503	1108
GCF_000165715.2	6006602	4594
GCF_000165735.1	1765528	1688
GCF_000165795.1	2630170	2405
GCF_000166055.1	4014469	3580
GCF_000166115.1	3734357	3171
GCF_000166135.1	8815781	7007
GCF_000166195.2	8408322	6849
GCF_000166275.1	4787724	3945
GCF_000166295.1	4651725	4197
GCF_000166335.1	2428903	2129
GCF_000166355.1	2770676	2526
GCF_000166395.1	4059653	3470
GCF_000166415.1	2613117	2317
GCF_000166695.1	2802443	2446
GCF_000166775.1	2843785	2445
GCF_000166935.1	1250021	1257
GCF_000167195.1	6238156	5131
GCF_000170955.2	1258864	1106
GCF_000172155.1	8220857	6167
GCF_000174355.1	4228787	3870
GCF_000174435.1	4107394	3636
GCF_000175215.2	4308776	3766
GCF_000175295.2	2344824	2201
GCF_000176035.2	6884444	6456
GCF_000176915.2	3629109	3275
GCF_000177215.2	4221670	3709
GCF_000177235.2	4681672	4237
GCF_000177535.2	2601311	2126
GCF_000177635.2	2928377	2588
GCF_000178835.2	4714237	4187
GCF_000178855.1	13661586	10873
GCF_000178875.2	5368767	4433
GCF_000178955.2	6237577	4732
GCF_000178975.2	5503984	4575
GCF_000179595.2	6156735	4893
GCF_000179615.1	5452778	4663
GCF_000179635.2	4482087	3876
GCF_000179915.2	5095226	4137
GCF_000181575.2	1321434	1271
GCF_000181875.2	1281782	1139
GCF_000181895.2	1252559	1135
GCF_000182745.2	3513191	3106
GCF_000183135.1	3685504	2941
GCF_000183405.1	2216552	2103
GCF_000183425.1	4516490	3718
GCF_000183525.2	3384656	2719
GCF_000183545.2	2888741	2166
GCF_000183725.1	2819357	2787
GCF_000183745.1	2439291	2395
GCF_000184345.1	2560222	2248
GCF_000184685.1	4024382	3579
GCF_000184705.1	2844696	2198
GCF_000185145.2	2839537	2231
GCF_000185385.1	3082404	2648
GCF_000185445.1	2098776	1742
GCF_000185505.1	2362882	2156
GCF_000185705.2	4391194	3702
GCF_000185725.2	3587629	3341
GCF_000185805.1	1759526	1820
GCF_000185885.1	2617381	2385
GCF_000186005.1	1118751	939
GCF_000186225.1	3998906	3172
GCF_000186245.1	2101285	2096
GCF_000186265.1	4888353	4148
GCF_000186345.1	5529304	3601
GCF_000186385.1	3498530	3290
GCF_000186885.1	3851869	3331
GCF_000187125.1	2210307	1984
GCF_000187465.1	1905984	1844
GCF_000187585.1	1639920	1577
GCF_000187935.1	2164480	2059
GCF_000188195.1	2306546	2031
GCF_000189755.2	3052787	2879
GCF_000189775.2	2534358	2327
GCF_000190435.1	3316466	3019
GCF_000190555.1	2886836	2672
GCF_000190575.1	4308663	3576
GCF_000190595.1	3765936	3257
GCF_000190635.1	3406739	3235
GCF_000190735.1	4635236	3760
GCF_000190755.2	4848329	4087
GCF_000191065.1	3057407	2274
GCF_000191105.1	2298289	2166
GCF_000191145.1	3862530	3599
GCF_000192575.1	4182647	3681
GCF_000192745.1	4718963	4371
GCF_000192865.1	4684316	4104
GCF_000193435.2	2674809	2236
GCF_000194135.1	1694430	1694
GCF_000194605.1	4633577	3981
GCF_000194985.1	1281836	1139
GCF_000195275.1	2897425	2657
GCF_000195295.1	3282536	2879
GCF_000195315.1	2115681	1765
GCF_000195335.1	2269167	2181
GCF_000195555.1	1945310	1802
GCF_000195635.1	4330716	3403
GCF_000195875.1	963879	745
GCF_000195955.2	4411532	3906
GCF_000196035.1	2944528	2867
GCF_000196115.1	7145576	5093
GCF_000196135.1	2110355	2046
GCF_000196155.1	5688987	4630
GCF_000196175.1	3782950	3542
GCF_000196275.1	3247018	3028
GCF_000196315.1	2952962	2653
GCF_000196355.1	3234309	2770
GCF_000196435.1	2642404	2096
GCF_000196455.1	2715461	2504
GCF_000196475.1	5094138	4178
GCF_000196495.1	4655660	3997
GCF_000196515.1	5486145	3667
GCF_000196535.1	2146480	1792
GCF_000196615.1	5372268	4810
GCF_000196675.1	7303989	6691
GCF_000196795.1	4152543	3813
GCF_000196875.2	4061825	3706
GCF_000197735.1	3918192	3475
GCF_000198775.1	3750138	2885
GCF_000199675.1	3532378	3134
GCF_000200595.1	1672681	1612
GCF_000200735.1	1147259	1487
GCF_000202835.1	4214744	3794
GCF_000203215.1	709270	794
GCF_000204015.1	5411525	4535
GCF_000204255.1	1179220	978
GCF_000205025.1	2831696	2476
GCF_000208385.1	2227296	1837
GCF_000208405.1	2568361	2272
GCF_000210095.1	2573208	2290
GCF_000210375.1	6788435	5673
GCF_000210575.1	3763317	2948
GCF_000210915.2	3437906	3270
GCF_000211495.1	4598918	3958
GCF_000211815.1	8478612	6653
GCF_000212375.1	2186370	1633
GCF_000212395.1	1898865	1836
GCF_000212415.1	3055580	2564
GCF_000212675.2	4200534	3744
GCF_000212695.1	4266344	3746
GCF_000212735.1	8771651	6656
GCF_000212915.1	2991798	2385
GCF_000213235.1	2759867	2556
GCF_000213255.1	3135972	2872
GCF_000213555.1	5176087	4002
GCF_000213655.1	4972148	4180
GCF_000213905.2	1143694	946
GCF_000213975.1	2761262	2436
GCF_000214095.2	3207552	3021
GCF_000214155.1	4643668	4270
GCF_000214175.1	4863490	4452
GCF_000214215.1	3899940	3477
GCF_000214235.1	5442880	4928
GCF_000214275.2	4493444	3792
GCF_000214355.1	3855671	3334
GCF_000214375.1	4059867	3429
GCF_000214825.1	1932455	1658
GCF_000215085.1	3969014	3783
GCF_000215105.1	3307740	2920
GCF_000215705.1	4070193	3908
GCF_000215975.1	1634377	1620
GCF_000217655.1	1133390	939
GCF_000217795.1	2322224	2203
GCF_000217815.1	2039943	1970
GCF_000218235.1	3388644	2599
GCF_000218545.1	3526441	3129
GCF_000218565.1	3896074	3650
GCF_000218625.1	2526590	2280
GCF_000218855.1	4145581	3840
GCF_000218895.1	6919729	5691
GCF_000219045.1	2035931	1897
GCF_000219125.1	4323011	3899
GCF_000219725.1	3239340	2839
GCF_000219915.2	4423879	3182
GCF_000220215.1	3286469	2425
GCF_000220235.1	2669193	2048
GCF_000220705.2	7137891	5814
GCF_000220865.1	2748368	2355
GCF_000221985.1	2195458	2049
GCF_000222305.1	1403443	1310
GCF_000222485.1	6221273	4868
GCF_000222975.1	4658411	3949
GCF_000223215.1	3308048	2694
GCF_000224005.2	3779112	3232
GCF_000224085.1	3842422	3356
GCF_000224555.1	1646139	1468
GCF_000224615.1	2805893	2248
GCF_000224675.1	5012132	4613
GCF_000225705.1	2492085	2144
GCF_000225955.1	4352825	3813
GCF_000226295.1	3695372	2975
GCF_000226315.1	2481983	2299
GCF_000226565.1	4134229	3422
GCF_000226625.1	1638559	1487
GCF_000227665.2	2158359	2021
GCF_000227685.2	3756729	3323
GCF_000227705.2	4355525	3856
GCF_000227745.2	5017071	4366
GCF_000230655.2	1869644	1846
GCF_000230695.2	4225490	3836
GCF_000230995.2	6200534	5762
GCF_000231035.2	4669397	4249
GCF_000231055.2	4763852	4263
GCF_000231385.2	4873567	4321
GCF_000231405.2	3176073	2970
GCF_000233595.1	4867131	4397
GCF_000233695.2	3974658	3353
GCF_000233715.2	4855529	4369
GCF_000233775.1	1999646	1879
GCF_000233915.3	3452554	3058
GCF_000234055.1	2992428	2246
GCF_000234095.1	2413634	2145
GCF_000234135.1	2113402	1944
GCF_000235405.2	2166381	1923
GCF_000235425.2	9978592	7773
GCF_000235445.1	2687075	2236
GCF_000235585.1	6083395	5110
GCF_000235605.1	5863081	5264
GCF_000235885.1	3097322	2516
GCF_000236145.1	3761887	3254
GCF_000236405.1	609561	536
GCF_000236685.1	3590853	3176
GCF_000236705.1	4000057	3441
GCF_000236805.1	5771987	4921
GCF_000237085.1	4897678	3920
GCF_000237205.1	2628375	2329
GCF_000237285.1	1807534	1566
GCF_000237305.1	8092553	6959
GCF_000237805.1	1675934	1499
GCF_000237825.1	1880838	1653
GCF_000237845.1	1275089	1300
GCF_000237995.1	1978793	1855
GCF_000238055.2	2470863	2070
GCF_000238075.1	2520584	2124
GCF_000238135.1	2596720	2186
GCF_000238255.3	4752413	4168
GCF_000238275.3	4027610	3520
GCF_000238295.3	6143755	4943
GCF_000238395.3	4721971	4038
GCF_000238995.1	919992	1130
GCF_000239275.1	1798854	1475
GCF_000239475.1	993811	873
GCF_000240185.1	5682322	5779
GCF_000241055.1	1842238	1789
GCF_000241465.1	4264936	3898
GCF_000241955.1	5448900	4802
GCF_000242135.1	4138659	3510
GCF_000242235.1	2313632	2022
GCF_000242255.2	3603458	3105
GCF_000242435.1	2499879	2019
GCF_000242455.2	9755686	7093
GCF_000242595.2	3285855	2788
GCF_000242615.2	4127237	3511
GCF_000242635.2	5202069	4297
GCF_000242915.1	2952682	2840
GCF_000243015.1	3151214	2357
GCF_000243035.1	2487950	1865
GCF_000243115.2	4697343	3742
GCF_000243135.2	3624449	3317
GCF_000243155.2	4321753	3990
GCF_000243215.1	3773011	2996
GCF_000243235.1	3966857	3365
GCF_000243335.1	4522760	4139
GCF_000243395.2	4564108	4182
GCF_000244895.1	5660978	5096
GCF_000244955.1	5965593	5581
GCF_000244975.1	5408301	4996
GCF_000245015.1	4265146	3470
GCF_000245755.1	2096464	1812
GCF_000245795.1	1717767	1496
GCF_000246755.1	1139330	1008
GCF_000246855.1	9033684	7044
GCF_000247565.1	719535	634
GCF_000247605.1	4044777	3575
GCF_000247715.1	5844299	5057
GCF_000247855.1	5994455	5418
GCF_000250635.1	4400185	3322
GCF_000250875.1	2376899	1879
GCF_000252445.1	4406036	4148
GCF_000252855.1	2164087	1976
GCF_000253015.1	1522743	1190
GCF_000253035.1	3072383	2508
GCF_000253095.1	1017232	817
GCF_000253115.1	3785534	3507
GCF_000253275.1	3563292	2948
GCF_000253375.1	4482059	3921
GCF_000253395.1	1929905	1693
GCF_000255115.2	4991181	4451
GCF_000255135.1	2244793	2033
GCF_000255295.1	10080619	7940
GCF_000255355.1	1417115	1238
GCF_000255455.1	4257070	3453
GCF_000255655.1	8702386	6194
GCF_000255705.1	10086423	8265
GCF_000257545.3	7188564	6392
GCF_000258175.1	4776006	4248
GCF_000258405.1	3658997	3101
GCF_000258535.2	8819200	7097
GCF_000259175.1	4402109	3825
GCF_000259275.1	1847790	1631
GCF_000260115.1	4508243	3790
GCF_000260135.1	4691711	4327
GCF_000260965.1	2745290	2562
GCF_000260985.4	3137100	2892
GCF_000261345.2	7783599	6673
GCF_000262305.1	4158725	3750
GCF_000262405.1	7082538	6502
GCF_000262445.1	2540159	2093
GCF_000262525.1	510792	449
GCF_000262545.1	2521238	2031
GCF_000263675.1	6179543	5365
GCF_000264455.2	6512983	5726
GCF_000264765.2	4329652	3761
GCF_000264945.2	3945731	3670
GCF_000265295.1	2510109	2481
GCF_000265385.1	3520671	3129
GCF_000265405.1	4196595	3630
GCF_000265425.1	5227858	4195
GCF_000265505.1	4919337	3944
GCF_000266885.1	4409302	4114
GCF_000266925.1	2160700	2016
GCF_000266945.1	6527027	5298
GCF_000269805.1	3371034	2698
GCF_000269985.1	8783278	7415
GCF_000270245.1	5683123	5084
GCF_000273175.1	5718278	4247
GCF_000275805.1	1555498	1212
GCF_000276825.1	5501090	5049
GCF_000277125.1	5402402	4967
GCF_000277165.1	1109804	839
GCF_000277285.1	1112372	815
GCF_000277795.1	650228	680
GCF_000278095.1	1922932	1504
GCF_000278135.1	1970822	1502
GCF_000278215.1	2170653	1558
GCF_000278235.1	1786506	1416
GCF_000278255.1	1571225	1216
GCF_000278295.1	2015681	1537
GCF_000279145.1	3300414	2858
GCF_000279995.1	2254945	1957
GCF_000280865.1	7885420	6414
GCF_000280925.3	9490432	7155
GCF_000281085.1	5032676	4022
GCF_000281175.1	5144873	4058
GCF_000283575.1	4470622	4263
GCF_000283615.1	2562720	2386
GCF_000283915.1	1150228	893
GCF_000284155.1	1323280	1175
GCF_000284275.1	7231841	6761
GCF_000284295.1	8773466	7960
GCF_000284315.1	2559538	2389
GCF_000284335.1	1558103	1515
GCF_000284355.1	2256675	2161
GCF_000284375.1	9207384	8268
GCF_000284415.1	3876289	3258
GCF_000284515.1	4170008	3980
GCF_000284615.1	3989480	3582
GCF_000285295.1	4227398	3900
GCF_000285495.1	3593561	3298
GCF_000285515.1	5614755	4689
GCF_000285555.1	3230817	3144
GCF_000285595.1	2986769	2786
GCF_000285835.1	3427329	2983
GCF_000286675.1	964110	719
GCF_000291095.1	5642127	5458
GCF_000295095.1	2932944	2405
GCF_000296405.1	2118285	1778
GCF_000296445.1	2119335	1731
GCF_000296465.1	3443906	2686
GCF_000297055.2	3217213	3034
GCF_000297075.2	4686340	4089
GCF_000297395.2	7325824	6490
GCF_000298075.1	2366595	2143
